#Survey     ID              KGAS_ID    FWHM      
#==================================================
SAMI       505316          344        1.977261084867872
SAMI       505341          99         1.977261084867872
SAMI       505979          274        1.882672957264529
SAMI       508144          318        2.374185685013837
SAMI       508593          348        2.543724424169949
SAMI       508632          347        1.333948681749179
SAMI       508908          345        1.977261084867872
SAMI       509075          92         1.977261084867872
SAMI       509852          287        1.607011651236166
SAMI       513236          290        1.554906454064807
SAMI       514022          200        2.035988196066189
SAMI       516973          324        1.676716314667353
SAMI       536625          252        1.799501908316477
SAMI       543797          261        1.427876026077902
SAMI       545986          431        2.029566974766308
SAMI       548946          321        1.760424536551731
SAMI       549182          303        1.760385552786113
SAMI       549296          327        1.760385552786113
SAMI       549313          192        1.760385552786113
SAMI       550328          216        1.796311894582592
SAMI       550330          136        1.796311894582592
SAMI       570119          275        2.124871382939063
SAMI       570174          276        2.124871382939063
SAMI       570197          271        1.554906454064807
SAMI       573586          301        1.760424536551731
SAMI       575097          18         2.141851550754367
SAMI       592863          404        2.394632325009624
SAMI       593680          83         2.130820149557524
SAMI       594049          79         1.579593887611166
SAMI       594906          277        2.141199418773022
SAMI       594946          272        2.674498839759476
SAMI       594986          286        2.674498839759476
SAMI       595088          283        2.23190914032631
SAMI       599310          305        1.560654712387945
SAMI       600929          250        2.422246677334205
SAMI       601013          249        2.141851550754367
SAMI       601018          17         2.141851550754367
SAMI       601102          246        2.141851550754367
SAMI       609396          414        2.046306230876455
SAMI       618144          201        2.895268516116869
SAMI       618152          207        2.394632325009624
SAMI       618220          266        2.895268516116869
SAMI       618988          312        2.533552035740076
SAMI       619095          101        2.130820149557524
SAMI       622084          253        1.560654712387945
SAMI       623144          218        1.748186434299972
SAMI       623620          22         2.52453255015963
